#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Nov 01 16:35:09 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ethernet_map.ncd
#OUTPUT FILE:      ethernet_pad.csv
#PART TYPE:        xc3s250e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,ram1_addr<10>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P3,ram1_addr<2>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P4,ram1_addr<4>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P5,ethernet_out,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,2.50,,,,
P9,ram1_addr<5>,IOB,IO_L03P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P10,ram1_addr<7>,IOB,IO_L03N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P11,ram1_addr<6>,IOB,IO_L04P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P12,ram1_addr<1>,IOB,IO_L04N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P13,,IBUF,IP,UNUSED,,3,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,ram1_addr<0>,IOB,IO_L05P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P16,ram1_addr<3>,IOB,IO_L05N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P17,ram2_cs,IOB,IO_L06P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P18,ethernet_in,IBUF,IO_L06N_3/LHCLK7,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,2.50,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
P22,ram1_cs,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P23,ready,IOB,IO_L07N_3,TRISTATE,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P24,enabled,IBUF,IO_L01P_2/CSO_B,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P25,read_ok,IBUF,IO_L01N_2/INIT_B,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P26,data<3>,IOB,IO_L02P_2/DOUT/BUSY,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P27,ethertx_enable,IOB,IO_L02N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,,,GND,,,,,,,,,,,,
P30,reset,IBUF,IP/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P31,,,VCCO_2,,,2,,,,,2.50,,,,
P32,data<1>,IOB,IO_L03P_2/D7/GCLK12,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P33,data<2>,IOB,IO_L03N_2/D6/GCLK13,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P34,write_ok,IBUF,IO/D5,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P35,data<0>,IOB,IO_L04P_2/D4/GCLK14,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P36,ram2_data<1>,IOB,IO_L04N_2/D3/GCLK15,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P37,,,GND,,,,,,,,,,,,
P38,ether_clk,IBUF,IP_L05P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P39,clk,IBUF,IP_L05N_2/M2/GCLK1,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P40,ram1_data<4>,IOB,IO_L06P_2/D2/GCLK2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P41,ram1_data<0>,IOB,IO_L06N_2/D1/GCLK3,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P42,ram1_data<1>,IOB,IO/M1,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P43,ram1_data<2>,IOB,IO_L07P_2/M0,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P44,ram1_data<5>,IOB,IO_L07N_2/DIN/D0,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P45,,,VCCO_2,,,2,,,,,2.50,,,,
P46,,,VCCAUX,,,,,,,,2.5,,,,
P47,ram1_data<3>,IOB,IO_L08P_2/VS2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P48,ram1_data<7>,IOB,IO_L08N_2/VS1,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P49,ram1_data<6>,IOB,IO_L09P_2/VS0,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P50,ram1_r1w0,IOB,IO_L09N_2/CCLK,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P51,,,DONE,,,,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,,DIFFM,IO_L01P_1,UNUSED,,1,,,,,,,,,
P54,ram2_r1w0,IOB,IO_L01N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P55,,,VCCO_1,,,1,,,,,2.50,,,,
P56,,,VCCINT,,,,,,,,1.2,,,,
P57,,DIFFM,IO_L02P_1,UNUSED,,1,,,,,,,,,
P58,ram2_data<3>,IOB,IO_L02N_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P59,,,GND,,,,,,,,,,,,
P60,ram2_data<2>,IOB,IO_L03P_1/RHCLK0,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P61,ram2_data<0>,IOB,IO_L03N_1/RHCLK1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P62,ram2_data<6>,IOB,IO_L04P_1/RHCLK2,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P63,ram2_data<7>,IOB,IO_L04N_1/RHCLK3/TRDY1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P64,,,GND,,,,,,,,,,,,
P65,ram2_data<5>,IOB,IO_L05P_1/RHCLK4/IRDY1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P66,ram2_data<4>,IOB,IO_L05N_1/RHCLK5,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,NONE,,UNLOCATED,NO,NONE,
P67,,DIFFM,IO_L06P_1/RHCLK6,UNUSED,,1,,,,,,,,,
P68,,DIFFS,IO_L06N_1/RHCLK7,UNUSED,,1,,,,,,,,,
P69,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P70,ram2_addr<0>,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P71,ram2_addr<1>,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P72,,,GND,,,,,,,,,,,,
P73,,,VCCO_1,,,1,,,,,2.50,,,,
P74,,,VCCAUX,,,,,,,,2.5,,,,
P75,,,TMS,,,,,,,,,,,,
P76,,,TDO,,,,,,,,,,,,
P77,,,TCK,,,,,,,,,,,,
P78,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,
P79,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,,,GND,,,,,,,,,,,,
P82,,,VCCO_0,,,0,,,,,2.50,,,,
P83,ram2_addr<2>,IOB,IO_L02P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P84,ram2_addr<3>,IOB,IO_L02N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P85,ram2_addr<4>,IOB,IO_L03P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P86,ram2_addr<5>,IOB,IO_L03N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P87,,,GND,,,,,,,,,,,,
P88,,DIFFMI,IP_L04P_0/GCLK8,UNUSED,,0,,,,,,,,,
P89,,DIFFSI,IP_L04N_0/GCLK9,UNUSED,,0,,,,,,,,,
P90,ram2_addr<6>,IOB,IO_L05P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P91,ram2_addr<7>,IOB,IO_L05N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P92,ram2_addr<8>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P93,,,GND,,,,,,,,,,,,
P94,ram2_addr<9>,IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P95,ram2_addr<10>,IOB,IO_L06N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P96,,,VCCAUX,,,,,,,,2.5,,,,
P97,,,VCCO_0,,,0,,,,,2.50,,,,
P98,ram1_addr<8>,IOB,IO_L07P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P99,ram1_addr<9>,IOB,IO_L07N_0/HSWAP,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P100,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
